Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
4/5/2001,72.94690624773783,74.35690926567132,72.43183346713232,74.07362365722656,21522800,5,3,14,4,2001
4/6/2001,73.39112158324508,73.65509762657659,72.14851355001977,72.94687653,14937800,6,4,14,4,2001
4/9/2001,73.39759255835662,74.03499132887065,72.61210876434025,73.75814056396484,9034300,9,0,15,4,2001
4/10/2001,74.33118084506508,75.81201192,74.15090678312946,75.10379028320312,17873600,10,1,15,4,2001
4/11/2001,76.47511618079042,76.61032164086748,74.77538337968377,75.15525055,12722300,11,2,15,4,2001
4/12/2001,74.87843238556292,76.57816592475932,74.65952470364432,76.52021789550781,9233200,12,3,15,4,2001
4/16/2001,76.15966614624485,76.54596831146294,75.27117067503337,75.71541595458984,7350000,16,0,16,4,2001
4/17/2001,75.52870669412235,77.04173137586932,75.34199290547913,76.78419494628906,10924700,17,1,16,4,2001
4/18/2001,77.94309629455599,81.12366043,77.70487916561954,79.83598327636719,32481600,18,2,16,4,2001
4/19/2001,79.99691783697772,81.02061849213531,79.56554731,80.89829254,13809900,19,3,16,4,2001
4/20/2001,80.41545731,80.73737666924927,79.61709866907829,80.15792083740234,7626700,20,4,16,4,2001
4/23/2001,79.61062678376653,79.76514663921077,78.49034923562502,78.70281219482422,8451800,23,0,17,4,2001
4/24/2001,78.88307490560129,79.61061540720836,77.96882559939982,78.27787017822266,10044700,24,1,17,4,2001
4/25/2001,78.17486502578336,79.62350157,77.87226016213235,79.30158233642578,8249000,25,2,17,4,2001
4/26/2001,79.66210992399064,80.62142755423193,79.51402496314186,79.65567016601562,10590400,26,3,17,4,2001
4/27/2001,80.42827805,81.02060809566537,79.96471369251346,80.98197937011719,7938700,27,4,17,4,2001
4/30/2001,81.41336596459912,81.94131327070232,80.26733437,81.54857635498047,10766900,30,0,18,4,2001
5/1/2001,80.52488023790576,81.86406548415978,80.22227535982839,81.79968262,10578000,1,1,18,5,2001
5/2/2001,82.03145566301842,82.21172963515096,81.12364113065438,81.65158844,9572900,2,2,18,5,2001
5/3/2001,81.20737406966046,81.22025359453242,79.97764469776008,80.61504364013672,9926200,3,3,18,5,2001
5/4/2001,79.61060629946155,81.99280603032099,79.47540084672485,81.98636627197266,12145300,4,4,18,5,2001
5/7/2001,81.67732634694876,82.01212009841267,81.27170999019697,81.27814483642578,7185200,7,0,19,5,2001
5/8/2001,81.67735046566112,81.83187032641946,80.84035847169933,81.23954010009766,6952600,8,1,19,5,2001
5/9/2001,80.64075620991115,81.47774805956337,80.51842534718276,80.89829254,9507400,9,2,19,5,2001
5/10/2001,81.93490672445796,82.08942662271299,80.97558361388124,81.13654327392578,6872400,10,3,19,5,2001
5/11/2001,81.12367025873067,81.43914982323798,80.09352939659517,80.57640838623047,7734400,11,4,19,5,2001
5/14/2001,80.41544640551018,80.76311985747982,80.13215583454996,80.73736572265625,7914000,14,0,20,5,2001
5/15/2001,80.83392044550554,81.44556502,80.38323057720781,81.11077117919922,9782200,15,1,20,5,2001
5/16/2001,80.37674379143579,83.18387822165658,80.23510353956883,83.02291870117188,14909000,16,2,20,5,2001
5/17/2001,83.05515393832731,83.75050059206315,82.77186346930222,83.15172576904297,11824600,17,3,20,5,2001
5/18/2001,83.11309248942976,83.53159332,82.47569879319111,83.53159332,6683100,18,4,20,5,2001
5/21/2001,83.59597608122785,84.88365289020865,83.15172601025836,84.76132202148438,11531500,21,0,21,5,2001
5/22/2001,84.87724104805035,85.04463554187858,84.38792726472374,84.65189361572266,8342700,22,1,21,5,2001
5/23/2001,84.37502127296221,84.37502127296221,83.21611022949219,83.21611022949219,12330800,23,2,21,5,2001
5/24/2001,83.35777602,83.69900965601279,82.76544574391963,83.46079254,7902800,24,3,21,5,2001
5/25/2001,83.47365745112647,83.50585134091003,82.34694499017073,82.47571563720703,7425000,25,4,21,5,2001
5/29/2001,82.55294497212432,82.63664709218946,81.70307863978451,81.81896973,9003900,29,1,22,5,2001
5/30/2001,81.50354417741805,81.82546354915051,80.47984293,80.67299652,10041800,30,2,22,5,2001
5/31/2001,80.75665211036254,81.61295837613072,80.64720075936586,81.09144592285156,9874200,31,3,22,5,2001
6/1/2001,81.25239711033879,81.8318526,80.55705543,81.59363555908203,8848300,1,4,22,6,2001
6/4/2001,81.63869791470478,82.04431427291489,81.17513355555246,81.98636627197266,5623500,4,0,23,6,2001
6/5/2001,82.08293726414283,83.20321444576261,81.94129206295374,82.92636871,9115400,5,1,23,6,2001
6/6/2001,82.94573219440164,82.94573219440164,81.99928861879894,82.23751068115234,12064900,6,2,23,6,2001
6/7/2001,81.79967025074563,82.63666213114277,81.76747636607762,82.53364562988281,7355300,7,3,23,6,2001
6/8/2001,82.21817921273552,82.32763549722372,81.21379266685427,81.76749420166016,8170600,8,4,23,6,2001
6/11/2001,81.58077593650432,81.76104993099062,80.74378883180394,81.18803405761719,7012200,11,0,24,6,2001
6/12/2001,80.38970389570744,81.60011893485718,79.86175633572623,81.04641723632812,9364400,12,1,24,6,2001
6/13/2001,81.23309926879772,81.49707540153969,80.25446694743461,80.35104370117188,7629400,13,2,24,6,2001
6/14/2001,79.95188543863345,80.02914784661758,78.38735728967386,78.54831696,12603000,14,3,24,6,2001
6/15/2001,78.06791673659546,79.02996309871064,77.73862384849009,78.67484283447266,16821100,15,4,24,6,2001
6/18/2001,78.54570264002957,79.05578218148491,78.06790854687016,78.29389190673828,11368300,18,0,25,6,2001
6/19/2001,79.01703580020887,79.34632864185895,78.05498957381526,78.63609313964844,7732300,19,1,25,6,2001
6/20/2001,78.24872537,79.32699276687214,78.19061252890337,79.04935455322266,8787200,20,2,25,6,2001
6/21/2001,78.91376010240056,80.26320755761184,78.86856341552911,79.94683074951172,12259100,21,3,25,6,2001
6/22/2001,79.73372368365065,79.79828964722897,78.87498701,79.32049560546875,12212000,22,4,25,6,2001
6/25/2001,79.59816268646027,79.70147220668352,78.44887136735647,78.59091949,8406800,25,0,26,6,2001
6/26/2001,78.06143115488277,79.02347717800602,77.84835907141925,78.48111724853516,8005800,26,1,26,6,2001
6/27/2001,78.51342843820996,78.92665662003724,78.06791972953059,78.43595123291016,10105100,27,2,26,6,2001
6/28/2001,78.77168648341754,80.02428700875785,78.72648981116649,78.86853790283203,10269300,28,3,26,6,2001
6/29/2001,79.28827085518691,80.06953089394896,78.93960849534695,79.15913391113281,9824200,29,4,26,6,2001
7/2/2001,79.28823575725686,80.26965147,79.17201502,80.14697266,8522200,2,0,27,7,2001
7/3/2001,80.05010917510862,80.12758636,79.44963632508073,80.12758636,3303100,3,1,27,7,2001
7/5/2001,79.46255910366132,79.83704866159339,78.55216751,78.56507873535156,5517900,5,3,27,7,2001
7/6/2001,78.32620706,78.44242783203316,76.86699676513672,76.86699676513672,11665900,6,4,27,7,2001
7/9/2001,77.15106158213744,77.82901665,76.9638168,77.28665161132812,8339300,9,0,28,7,2001
7/10/2001,77.66761959042354,77.89360303159381,76.32462524565513,76.35691071,8630700,10,1,28,7,2001
7/11/2001,76.25360045579946,76.76368017595745,75.60147259508236,76.43438720703125,15328600,11,2,28,7,2001
7/12/2001,77.15755738130528,78.42952794,77.03487851707607,78.24874114990234,12002800,12,3,28,7,2001
7/13/2001,78.02275782240359,78.97835155787085,77.88071456506059,78.92669677734375,10433800,13,4,28,7,2001
7/16/2001,78.62319767747682,78.95249060576948,77.66760927429073,77.93878936767578,6915300,16,0,29,7,2001
7/17/2001,77.60949805374301,78.73942005908658,77.37060341101167,78.66839599609375,7469800,17,1,29,7,2001
7/18/2001,77.84196815,78.53929288100763,77.51913317051446,78.13252258300781,7709300,18,2,29,7,2001
7/19/2001,78.88791095106403,79.4044486,77.97106131264013,78.81688690185547,10082900,19,3,29,7,2001
7/20/2001,78.22289950948505,78.73297925731316,78.07439328373466,78.34557342529297,6705800,20,4,29,7,2001
7/23/2001,78.64259227276504,78.69424211864126,76.80242919921875,76.80242919921875,8065200,23,0,30,7,2001
7/24/2001,76.83470010457063,76.96383208389851,75.38194316982033,76.05989837646484,12269000,24,1,30,7,2001
7/25/2001,76.13736346597307,77.14461146335259,75.84035601997284,76.89925384521484,12088500,25,2,30,7,2001
7/26/2001,76.87339993996515,78.02914879847255,76.55056522840667,77.70631408691406,12898200,26,3,30,7,2001
7/27/2001,78.01625782521657,78.35200384490494,77.42224298403896,78.00334167480469,8478800,27,4,30,7,2001
7/30/2001,78.24867443983143,78.35197898000273,77.67402908056658,78.02914428710938,8547700,30,0,31,7,2001
7/31/2001,78.12605205956876,79.21077760752128,77.99692005965038,78.35203552246094,11918100,31,1,31,7,2001
8/1/2001,78.75234191763639,79.22367808684363,78.4811618,78.84273529052734,11940800,1,2,31,8,2001
8/2/2001,79.56586715823767,79.57877838279735,78.70066733069483,79.16555023,11070100,2,3,31,8,2001
8/3/2001,79.00415896085562,79.00415896085562,78.06148162204377,78.73297882080078,10816300,3,4,31,8,2001
8/6/2001,78.35201484600147,78.45532435952965,77.54492774432022,77.67406463623047,8550100,6,0,32,8,2001
8/7/2001,77.65468896902028,78.25516195858765,77.42225242002617,77.97752380371094,8865100,7,1,32,8,2001
8/8/2001,77.55784447,78.22934153908886,76.46666112841464,76.53122711,15183800,8,2,32,8,2001
8/9/2001,76.64098903840016,76.81532261058233,76.09862887,76.75720977783203,14118500,9,3,32,8,2001
8/10/2001,76.70559574472995,77.37708819030323,75.76291323714031,77.02197266,11173300,10,4,32,8,2001
8/13/2001,77.22209226309818,77.38350968,76.71201262793845,77.04130554199219,7431600,13,0,33,8,2001
8/14/2001,77.57074463514991,77.70633465877235,76.70554974363482,77.00901031,13178100,14,1,33,8,2001
8/15/2001,76.98321846900431,77.22857124,76.24069716,76.34400177001953,8520600,15,2,33,8,2001
8/16/2001,76.05988540562635,76.67326959193446,75.54334772426385,76.60870361328125,10734700,16,3,33,8,2001
8/17/2001,75.96305419310151,76.10510233958746,74.90415609793136,75.38195037841797,11604600,17,4,33,8,2001
8/20/2001,75.41421521559477,76.12445082772427,75.25279780710768,76.07925415039062,10417400,20,0,34,8,2001
8/21/2001,76.0598685,76.53766254992738,74.76852951242927,74.78144073486328,14480800,21,1,34,8,2001
8/22/2001,75.38196096699417,75.82101669686402,74.75566037464317,75.55628967285156,11752300,22,2,34,8,2001
8/23/2001,75.51753672927255,75.87911022901979,75.21407114509776,75.28509521484375,8744100,23,3,34,8,2001
8/24/2001,75.67894230437129,76.91862690284476,75.37547676779243,76.84760284423828,11687700,24,4,34,8,2001
8/27/2001,76.81531975245629,76.96382101,76.35689488788441,76.38917541503906,7425100,27,0,35,8,2001
8/28/2001,76.36982296614272,76.50541303,75.27218627929688,75.27218627929688,12046600,28,1,35,8,2001
